bureau;sous_bureau;l_orphelin;de_la_provote;duron;bruneau;casevitz;adam;chapron;NULS
1;1.1;11.22;15.20;27.98;32.81;0.71;7.67;4.41;2.76
2;2.1;13.71;13.25;26.5;32.97;0.93;10.48;2.16;1.82
2;2.2;10.37;16.64;21.55;42.16;0.55;5.32;3.41;2.91
3;3.1;11;20.3;26.06;33.16;0.51;6.09;2.88;3.27
3;3.2;10.67;15.73;23.69;40.69;1.08;4.34;3.8;3.15
3;3.3;9.47;17.86;20;44.12;0.46;2.9;5.19;2.24
4;4.1;11.36;16.89;22.72;39.61;1.05;3.29;5.08;2.9
4;4.2;6.5;18.38;20.44;47.38;0.48;2.22;4.6;1.56
4;4.3;9.71;19.57;20.49;39.44;0.77;2.93;7.09;1.82
4;4.4;10.83;19.59;20.96;37.97;0.34;4.47;5.84;3.96
5;5.1;7.28;20.23;17.48;43.04;1.13;5.5;5.34;2.83
5;5.2;13.89;17.04;25.74;29.81;1.67;5.55;6.3;2
5;5.3;11.45;20.8;22.14;36.64;0.57;4.96;3.44;2.06
6;6.1;8.89;21.96;24.68;31.04;1.09;7.08;5.26;2.65
6;6.2;10.17;30.31;17.75;35.12;0.18;3.33;3.14;2.87
7;7.1;7.34;17.74;29.2;30.28;1.22;6.88;7.34;3.4
7;7.2;11.09;19.76;23.1;31.92;1.52;4.1;8.51;2.52
7;7.3;8.93;20.28;28.18;26.46;3.09;5.84;7.22;1.69
8;8.1;8.60;20.36;24.74;32.73;1.51;3.77;8.29;4.6
9;9.1;5.62;21.08;29.52;22.69;3.01;4.42;13.66;3.49
9;9.2;5.69;21.45;26.36;21.96;4.65;2.58;17.31;3.49
9;9.3;6.3;15.43;30.22;29.35;3.04;3.7;11.96;4.56
10;10.1;7.73;25.84;21.35;35.67;1.41;3.93;4.07;3.13
10;10.2;11.02;18.21;18.85;42.65;0.48;3.84;4.95;1.88
10;10.3;9.11;23.34;26.49;30.46;0.83;5.13;4.64;2.27
11;11.1;11.91;17.86;25.57;33.63;1.75;5.60;3.68;2.06
12;12.1;8.38;18.58;26.77;29.51;2.73;4.19;9.84;2.66
13;13.1;14.6;19.22;29.91;24.28;1.01;6.21;4.77;2.54
13;13.2;5.83;17.48;26.88;24.44;2.82;8.27;14.28;3.27
13;13.3;8.24;18.09;31.34;23.91;1.78;8.24;8.4;2.98
14;14.1;7.79;16.81;33.63;21.77;2.48;7.43;10.09;2.92
14;14.2;6.61;18.39;35.18;23.03;1.79;5.54;9.46;2.95
15;15.1;9.51;19.84;22.46;30.98;2.29;5.90;9.02;2.87
16;16.1;8.99;14.98;25.47;31.46;0.19;9.92;8.99;2.73
16;16.2;14.24;15.91;24.39;33.94;0.76;7.12;3.64;2.65
16;16.3;9.78;17.35;22.87;38.48;0.79;5.68;5.05;2.16
16;16.4;11.41;18.54;26.38;31.73;1.6;5.88;4.46;2.77
17;17.1;10.34;15.39;26.68;24.76;2.4;7.69;12.74;2.58
17;17.2;15.44;13;27.68;25.8;2.07;9.23;6.78;4.5
17;17.3;9.43;16.9;27.31;23.18;3.93;7.27;11.98;3.05
18;18.1;14.31;15.11;27.65;28.30;1.45;6.75;6.43;2.81
18;18.2;16.76;14.20;27.36;25.26;1.17;6.75;8.50;3.7
18;18.3;12.18;17.59;25.86;24.21;2.41;6.62;11.13;2.92
19;19.1;11.80;16.08;29.50;25.96;1.62;5.90;9.14;3.28
19;19.2;5.18;21.91;27.89;16.34;3.98;3.98;20.72;3.46
19;19.3;9.53;18.58;31.05;20.54;1.96;4.65;13.69;4.88
19;19.4;9.81;18.18;28.71;23.69;1.91;5.74;11.96;2.34
20;20.1;11.49;13.25;32.86;25.97;1.59;8.48;6.36;2.25
20;20.2;13.59;11.63;36.31;23.26;1.61;8.41;5.19;2.78
21;21.1;3.70;15.74;27.32;23.61;3.70;8.80;17.13;2.26
21;21.2;7.20;13.14;35.59;20.76;5.09;3.39;14.83;1.67
21;21.3;4.18;14.88;30.81;27.94;3.39;3.39;15.41;2.3
22;22.1;7.72;19.30;33.64;19.67;4.78;5.15;9.74;3.37
22;22.2;11.37;14.85;33.33;23.07;2.21;7.27;7.90;2.76
22;22.3;13.40;15.36;30.72;24.83;1.80;6.21;7.68;3.62
23;23.1;10.94;19.62;23.79;36.98;0.69;5.38;2.60;1.71
23;23.2;11.76;17.38;21.52;36.42;1.33;6.29;5.30;2.58
23;23.3;9.27;20.93;24.51;29.15;1.94;7.32;6.88;2.19
